Classes,LULC1,LULC2,LULC3,LULC4,LULC5,LULC6,LULC7,LULC8,LULC9,LULC10,LULC11,LULC12,LULC13
LULC1,8828.63487675201,177.470371886847,620.911460571795,0,2644.63107845582,681.517662126764,385.421542327384,466.687236084944,16123.7036009751,785.246677094362,175.782053618154,10.1241060778621,14.5276383956486
LULC2,211.988674393154,23747.3971178856,3.12567184101631,43.5912720170976,1224.64716478193,758.62604778269,5229.85475975325,48.9360040532066,2904.2511402379,145.519638018698,15.1176881445507,0.0201774690633115,5.04350911674173
LULC3,38.7351677472377,5.24166701821725,93973.9022663597,12048.1630293816,6639.55067342842,2216.3051818602,5548.22691846296,697.117437652461,4060.33584376613,344.114724192903,29.6523848885673,0,139.929986907906
LULC4,29.3951521857231,2.53923995954453,3299.55469064178,2377.35324004771,7772.38815859276,2191.68074288914,1643.91143718326,492.467351595349,4294.3731104849,416.282863247635,10.0964246008778,45.9402729753796,185.212557808604
LULC5,156.779691056321,54.0896583615576,8665.23802784541,5850.68163495791,171265.196517436,54894.2392649403,132220.537716957,10909.9420586115,67140.818388823,364.678222483767,260.044486035961,1103.15227517439,7.07499678323655
LULC6,830.776127282499,1006.90513952013,6947.79494058883,3428.52337502856,47892.8074731929,58563.4152121555,326108.050995869,53154.2697622788,46862.5973838853,569.028110072611,827.709073341794,198.971750455004,476.012773050949
LULC7,188.340884996689,363.267292765788,3095.05332110657,1497.17971308172,174617.969603954,188274.059128316,623688.13816942,5019.28892946574,167646.860398566,7991.02269646975,822.434959943907,826.053695842449,1311.9162200401
LULC8,134.113556289203,6.72322839862491,696.526287120888,293.758034268435,3802.10933687693,17400.0903914057,29745.8070228449,498509.758923582,44067.6438936404,165.512409025377,245.205299404314,5374.99863003344,98.8421063398176
LULC9,1680.02938586946,728.856999654904,15415.8584294346,29398.8719965877,117055.438946045,356893.351226906,78260.9320779245,60660.9308004572,7423626.05768579,3468.39673923114,22810.100216186,591.107975144539,2545.25785321233
LULC10,631.858660594452,218.278877733392,216.018129569718,209.557402589272,178.700507294635,7055.11986784155,31540.0056396923,509.763849339895,714.8784040857,11724.0861502089,203.453012873027,9.47340370758212,30.6488823296278
LULC11,108.597950575344,16.4829270303854,0,52.9915165673743,219.393343136115,1715.40908638841,163.842854883425,168.284514962019,15179.3146643254,490.635293984736,7837.30658018268,29.1827354622813,107.531586693354
LULC12,4.89516788358851,2.51103132495685,91.280228313765,238.612892343606,4097.23682021137,1148.25044974703,5375.00910992694,1918.93076618382,2737.24622576589,17.2490283430898,390.334090174961,1876792.40460936,5.79096972534195
LULC13,8.18112117818271,0,108.800806782642,39.9220232110749,395.109787656353,153.979961375421,257.510071524651,52.7823183219294,1982.26450857578,1.49013036112594,28.8668023549579,15.4756197765825,2096.2771177186
